arquivo,titulo_oficial,fonte_url,origem_institucional,camada,prioridade,tipo_documental,escopo_usuario,versao_sei_referida,ano,peso_autoridade,status_download,status_ingestao,observacao_de_conflito,scope_instance,module_tags,hash_sha256,data_download
NUCLEO_P1_decreto_instituicao_sei_rio_57250_2025.pdf,Decreto Rio nº 57.250 de 19 de novembro de 2025,https://sei.rio/wp-content/uploads/sites/2/2025/11/Decreto-SEI-57250.pdf,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,decreto,ambos,SEI.Rio 2025,2025,maximo,pendente,nao_iniciado,Fundamento normativo central do SEI.Rio,SEI.Rio,,,
NUCLEO_P1_decreto_substituicao_processo_rio_55615_2025.pdf,Decreto Rio nº 55.615 de 1º de janeiro de 2025,http://leismunicipa.is/1xs4t,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,decreto,ambos,SEI.Rio 2025,2025,maximo,pendente,nao_iniciado,Define a transicao Processo.rio para SEI.Rio,SEI.Rio,,,
NUCLEO_P1_resolucao_numeracao_processos_cvl_237_2025.pdf,Resolucao CVL nº 237 de 19 de novembro de 2025,https://sei.rio/wp-content/uploads/sites/2/2025/11/Resolucao-CVL237.pdf,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,resolucao,interno,SEI.Rio 2025,2025,maximo,pendente,nao_iniciado,Alta relevancia para numeracao/NUP municipal,SEI.Rio,,,
NUCLEO_P1_guia_usuario_interno_sei_rio_2025.pdf,Guia do usuario interno – SEI.Rio,https://sei.rio/servidor/guias-e-ambiente-de-teste/guia-do-usuario-interno/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,interno,SEI.Rio 2025,2025,maximo,pendente,nao_iniciado,Manual operacional principal do servidor,SEI.Rio,,,
NUCLEO_P1_guia_migracao_sei_rio_2026.pdf,Guia de migracao – SEI.Rio,https://sei.rio/servidor/guias-e-ambiente-de-teste/guia-de-migracao/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,interno,SEI.Rio 2026,2026,maximo,pendente,nao_iniciado,Fundamental para perguntas de migracao Processo.rio para SEI.Rio,SEI.Rio,,,
NUCLEO_P1_guia_usuario_externo_sei_rio_2025.pdf,Guia do usuario externo – SEI.Rio,,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,externo,SEI.Rio 2025,2025,maximo,pendente,nao_iniciado,Link exato ainda precisa ser confirmado no portal oficial,SEI.Rio,,,
NUCLEO_P2_faq_servidor_sei_rio_2025.pdf,Perguntas frequentes do servidor – SEI.Rio,https://sei.rio/servidor/faq/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,faq,interno,SEI.Rio 2025,2025,alto,pendente,nao_iniciado,Prioridade abaixo dos guias e decretos,SEI.Rio,,,
NUCLEO_P2_termo_uso_aviso_privacidade_sei_rio_2025.pdf,Termo de Uso e Aviso de Privacidade do SEI.Rio,,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,termo,externo,SEI.Rio 2025,2025,alto,pendente,nao_iniciado,Link exato ainda precisa ser confirmado no portal oficial,SEI.Rio,,,
NUCLEO_P2_faq_cidadao_sei_rio_2025.pdf,Perguntas frequentes do cidadao – SEI.Rio,,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,faq,externo,SEI.Rio 2025,2025,alto,pendente,nao_iniciado,Manter abaixo dos guias oficiais do usuario externo,SEI.Rio,,,
COBERTURA_P2_manual_usuario_pen_sei_4_0_plus.pdf,Manual do Usuario SEI 4.0+,https://manuais.processoeletronico.gov.br/pt-br/latest/SEI/index.html,Processo Eletronico Nacional,cobertura,P2,guia,ambos,SEI 4.0+,2026,alto,pendente,nao_iniciado,Nunca sobrepor regra local do SEI.Rio,PEN,,,
